n,0.10,0.05,0.02,0.01
4,1.000,,, 
5,0.900,1.000,1.000,
6,0.829,0.886,0.943,1.000
7,0.714,0.786,0.893,0.929
8,0.643,0.738,0.833,0.881
9,0.600,0.700,0.783,0.833
10,0.564,0.648,0.745,0.794
20,0.380,0.447,0.520,0.570
30,0.306,0.362,0.425,0.467
40,0.264,0.313,0.368,0.405
50,0.235,0.279,0.329,0.363
100,0.165,0.197,0.233,0.257
